Website,tcp,Time for transfer,Delay,Bandwidth
amazon,tcp fast_open,7.52,10,5
amazon,vanilla,7.6,10,5
amazon,tcp fast_open,7.6,20,5
amazon,vanilla,7.6,20,5
amazon,tcp fast_open,7.89,50,5
amazon,vanilla,7.89,50,5
amazon,tcp fast_open,8.5,100,5
amazon,vanilla,8.5,100,5
